total_cup_points,species,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,quakers,color,altitude_mean_meters
84.67,Arabica,Other,Other,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,0.12,0,Green,1200
84.67,Arabica,Other,Mundo Novo,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,0.12,0,Green,170
84.67,Arabica,Costa Rica,Catuai,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,0.1,0,Blue-Green,1150
84.67,Arabica,Guatemala,Bourbon,Washed / Wet,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,0.1,0,Green,1600
84.67,Arabica,Costa Rica,Caturra,Washed / Wet,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,0.12,0,Green,1750
84.67,Arabica,Ethiopia,Other,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,0.1,0,NA,1900
84.67,Arabica,Costa Rica,Other,Other,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,0.08,0,Green,1750
84.67,Arabica,Costa Rica,Catuai,Washed / Wet,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,0.11,0,Green,1200
84.67,Arabica,Costa Rica,NA,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,0,0,Green,NA
84.67,Arabica,Taiwan,Typica,Washed / Wet,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,0.11,0,Green,1000
84.67,Arabica,Colombia,Caturra,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,0,0,Green,1550
84.67,Arabica,Other,Other,Washed / Wet,7.75,7.92,7.83,8,7.58,7.75,10,10,10,7.83,0.11,0,Bluish-Green,2000
84.67,Arabica,Guatemala,Bourbon,Washed / Wet,8,7.83,7.67,7.83,7.67,8,10,10,10,7.67,0.11,0,Green,1310.64
84.67,Arabica,Guatemala,Bourbon,Washed / Wet,7.67,7.83,7.67,8,7.67,7.83,10,10,10,8,0.12,0,Green,1524
84.67,Arabica,Mexico,Typica,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10,10,10,7.92,0.13,0,NA,1200
84.67,Arabica,Other,Other,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10,10,10,7.83,0.11,0,Blue-Green,1775
